Data;ValorVendaGasolina;ValorVendaEtanol;CotacaoDolarVenda;Indice_Dez93;Ipca_Mensal
2005-01-03;2.4113659871761572;1.7504185022598775;2.6682;2412.83;0.58
2005-01-04;2.40627664792377;1.7191374783329343;2.6887;2412.83;0.58
2005-01-05;2.3897950999075337;1.740930996689586;2.7096;2412.83;0.58
2005-01-06;2.424676401515151;1.7042389015151513;2.7207;2412.83;0.58
2005-01-10;2.4142195502803347;1.7446996982884468;2.6973;2412.83;0.58
2005-01-11;2.3999437354690993;1.7340372305231644;2.7106;2412.83;0.58
2005-01-12;2.382626800778483;1.715501347477018;2.7113;2412.83;0.58
2005-01-13;2.404247863247863;1.6655491452991449;2.7011;2412.83;0.58
2005-01-17;2.421761295573363;1.750095762449869;2.7007;2412.83;0.58
2005-01-18;2.394632506382053;1.74646588129184;2.7139;2412.83;0.58
2005-01-19;2.3801641975180345;1.732287402161911;2.7185;2412.83;0.58
2005-01-20;2.3524654180602007;1.6780478564913348;2.7222;2412.83;0.58
2005-01-24;2.4262403327200803;1.74430606997502;2.678;2412.83;0.58
2005-01-25;2.3971959172702233;1.7425564729708383;2.6794;2412.83;0.58
2005-01-26;2.388861587939445;1.7131639790153166;2.6748;2412.83;0.58
2005-01-27;2.238417234042553;1.5187548936170212;2.6645;2412.83;0.58
2005-01-31;2.405878311055485;1.7544920876166816;2.6248;2412.83;0.58
2005-02-01;2.3825760490624486;1.7256832494472993;2.613;2427.07;0.59
2005-02-02;2.3913711637386608;1.7388069492667857;2.624;2427.07;0.59
2005-02-03;2.387674983972307;1.68188617035567;2.6034;2427.07;0.59
2005-02-09;2.4026867058081205;1.7151383207933144;2.6078;2427.07;0.59
2005-02-10;2.4033630351142055;1.7721745162140745;2.6122;2427.07;0.59
2005-02-11;2.2810333333333332;1.49545;2.6173;2427.07;0.59
2005-02-14;2.4116030174854344;1.7356012286871083;2.5834;2427.07;0.59
2005-02-15;2.394126643452677;1.7438354963723939;2.5762;2427.07;0.59
2005-02-16;2.3692095509450715;1.694617520236395;2.5926;2427.07;0.59
2005-02-17;2.440962837736975;1.7221074474907807;2.5737;2427.07;0.59
2005-02-21;2.4156621585377915;1.744592513489289;2.5762;2427.07;0.59
2005-02-22;2.3972174718929855;1.7472401848811225;2.5937;2427.07;0.59
2005-02-23;2.375079854562023;1.700719126985777;2.5857;2427.07;0.59
2005-02-24;2.3958277777777774;1.6518833333333334;2.6098;2427.07;0.59
2005-02-28;2.4045499765164466;1.7224816441081938;2.595;2427.07;0.59
2005-03-01;2.3828013809056983;1.7215864469293771;2.6011;2441.87;0.61
2005-03-02;2.366535058210661;1.716924030870939;2.6368;2441.87;0.61
2005-03-03;2.2944696180555555;1.5149992424242424;2.6698;2441.87;0.61
2005-03-07;2.406381496395804;1.7324468084756026;2.6624;2441.87;0.61
2005-03-08;2.3870835239060977;1.7297370637786524;2.6934;2441.87;0.61
2005-03-09;2.366373380608617;1.69425954169911;2.7113;2441.87;0.61
2005-03-10;2.3159498198579116;1.5948468598468597;2.7319;2441.87;0.61
2005-03-14;2.4114519507876295;1.7386330906818905;2.7523;2441.87;0.61
2005-03-15;2.3766257058522813;1.717887032866704;2.7621;2441.87;0.61
2005-03-16;2.367717331608341;1.6742227276098982;2.757;2441.87;0.61
2005-03-17;2.3805837209302325;1.6536529411764704;2.7522;2441.87;0.61
2005-03-21;2.401950326201098;1.721661789948126;2.7288;2441.87;0.61
2005-03-22;2.3890077203705053;1.710904010730338;2.706;2441.87;0.61
2005-03-23;2.3912920204137627;1.7163648078893081;2.7403;2441.87;0.61
2005-03-24;2.4345252525252525;1.6646843434343435;2.7303;2441.87;0.61
2005-03-28;2.3963364655613972;1.7278822949074402;2.7385;2441.87;0.61
2005-03-29;2.3907332244947774;1.709367777871023;2.7031;2441.87;0.61
2005-03-30;2.401377490340616;1.7486178029769688;2.6808;2441.87;0.61
2005-03-31;2.405297297297297;1.6204583333333333;2.6662;2441.87;0.61
2005-04-04;2.3962392108433983;1.7341411788146508;2.6598;2463.11;0.87
2005-04-05;2.3911379739348466;1.7065713550686186;2.6255;2463.11;0.87
2005-04-06;2.40777807386618;1.7201536227516783;2.6067;2463.11;0.87
2005-04-07;2.2916623376623373;1.575025974025974;2.6019;2463.11;0.87
2005-04-11;2.411300943045654;1.7472866798749918;2.5783;2463.11;0.87
2005-04-12;2.385023859388731;1.705300059845792;2.5899;2463.11;0.87
2005-04-13;2.3774855874515044;1.7084892750086047;2.5598;2463.11;0.87
2005-04-14;2.425413337967918;1.6335993972183425;2.5747;2463.11;0.87
2005-04-18;2.3984720009269584;1.7240869836763588;2.6157;2463.11;0.87
2005-04-19;2.404333481057139;1.713071612958104;2.5825;2463.11;0.87
2005-04-20;2.4011979120033287;1.7331427526382066;2.5645;2463.11;0.87
2005-04-22;2.2586410256410256;1.4983846153846152;2.5392;2463.11;0.87
2005-04-25;2.38261551498694;1.7116432368060863;2.5308;2463.11;0.87
2005-04-26;2.4092387801629593;1.7332870070937978;2.5355;2463.11;0.87
2005-04-27;2.3792954740882775;1.7045284015668911;2.5195;2463.11;0.87
2005-04-28;2.372620097568959;1.6609039964933516;2.5217;2463.11;0.87
2005-05-02;2.390781974030727;1.7173752892801333;2.5146;2475.18;0.49
2005-05-03;2.388265842568407;1.7200703021304566;2.5007;2475.18;0.49
2005-05-04;2.387917274112017;1.7236493566536082;2.4765;2475.18;0.49
2005-05-05;2.3135071448445657;1.6156080270592366;2.4687;2475.18;0.49
2005-05-06;2.1695;1.4145;2.4594;2475.18;0.49
2005-05-09;2.4070105656887524;1.736804736640114;2.4538;2475.18;0.49
2005-05-10;2.401563564167275;1.7134816608693222;2.465;2475.18;0.49
2005-05-11;2.3990342276840937;1.7358138148281392;2.4719;2475.18;0.49
2005-05-12;2.313392374727669;1.5657936507936507;2.4648;2475.18;0.49
2005-05-16;2.4037697625631975;1.7263614210445692;2.4772;2475.18;0.49
2005-05-17;2.4105577035655483;1.6876916370526407;2.4779;2475.18;0.49
2005-05-18;2.381637866776195;1.677850049840064;2.4636;2475.18;0.49
2005-05-19;2.356261538894518;1.5955953237583673;2.4458;2475.18;0.49
2005-05-23;2.406773203258741;1.7088027274215989;2.4299;2475.18;0.49
2005-05-24;2.369434856701658;1.6567467107906506;2.4313;2475.18;0.49
2005-05-25;2.3623532196254122;1.665023627466165;2.4116;2475.18;0.49
2005-05-27;2.2551616161616157;1.4253151515151512;2.3934;2475.18;0.49
2005-05-30;2.3943318890940164;1.6851690343730827;2.3784;2475.18;0.49
2005-05-31;2.393106152738831;1.67569412134737;2.4038;2475.18;0.49
2005-06-01;2.3952948963485947;1.692169265821846;2.4286;2474.68;-0.02
2005-06-02;2.3867083333333334;1.5664958333333332;2.4202;2474.68;-0.02
2005-06-03;2.3390000000000004;0.999;2.4029;2474.68;-0.02
2005-06-06;2.39858807663507;1.6919650879578334;2.4576;2474.68;-0.02
2005-06-07;2.3816443836166292;1.649213711317989;2.4632;2474.68;-0.02
2005-06-08;2.3772546929351988;1.6345719946558617;2.4464;2474.68;-0.02
