Data;cotacaoCompra;cotacaoVenda;Indice_Dez93;Ipca_Mensal
2005-01-03;2.6674;2.6682;2412.83;0.58
2005-01-04;2.6879;2.6887;2412.83;0.58
2005-01-05;2.7088;2.7096;2412.83;0.58
2005-01-06;2.7199;2.7207;2412.83;0.58
2005-01-07;2.7024;2.7032;2412.83;0.58
2005-01-10;2.6965;2.6973;2412.83;0.58
2005-01-11;2.7098;2.7106;2412.83;0.58
2005-01-12;2.7105;2.7113;2412.83;0.58
2005-01-13;2.7003;2.7011;2412.83;0.58
2005-01-14;2.7066;2.7074;2412.83;0.58
2005-01-17;2.6999;2.7007;2412.83;0.58
2005-01-18;2.7131;2.7139;2412.83;0.58
2005-01-19;2.7177;2.7185;2412.83;0.58
2005-01-20;2.7214;2.7222;2412.83;0.58
2005-01-21;2.6991;2.6999;2412.83;0.58
2005-01-24;2.6772;2.678;2412.83;0.58
2005-01-25;2.6786;2.6794;2412.83;0.58
2005-01-26;2.674;2.6748;2412.83;0.58
2005-01-27;2.6637;2.6645;2412.83;0.58
2005-01-28;2.6579;2.6587;2412.83;0.58
2005-01-31;2.624;2.6248;2412.83;0.58
2005-02-01;2.6122;2.613;2427.07;0.59
2005-02-02;2.6232;2.624;2427.07;0.59
2005-02-03;2.6026;2.6034;2427.07;0.59
2005-02-04;2.6022;2.603;2427.07;0.59
2005-02-09;2.607;2.6078;2427.07;0.59
2005-02-10;2.6114;2.6122;2427.07;0.59
2005-02-11;2.6165;2.6173;2427.07;0.59
2005-02-14;2.5826;2.5834;2427.07;0.59
2005-02-15;2.5754;2.5762;2427.07;0.59
2005-02-16;2.5918;2.5926;2427.07;0.59
2005-02-17;2.5729;2.5737;2427.07;0.59
2005-02-18;2.5613;2.5621;2427.07;0.59
2005-02-21;2.5754;2.5762;2427.07;0.59
2005-02-22;2.5929;2.5937;2427.07;0.59
2005-02-23;2.5849;2.5857;2427.07;0.59
2005-02-24;2.609;2.6098;2427.07;0.59
2005-02-25;2.6312;2.632;2427.07;0.59
2005-02-28;2.5942;2.595;2427.07;0.59
2005-03-01;2.6003;2.6011;2441.87;0.61
2005-03-02;2.636;2.6368;2441.87;0.61
2005-03-03;2.669;2.6698;2441.87;0.61
2005-03-04;2.6607;2.6615;2441.87;0.61
2005-03-07;2.6616;2.6624;2441.87;0.61
2005-03-08;2.6926;2.6934;2441.87;0.61
2005-03-09;2.7105;2.7113;2441.87;0.61
2005-03-10;2.7311;2.7319;2441.87;0.61
2005-03-11;2.7013;2.7021;2441.87;0.61
2005-03-14;2.7515;2.7523;2441.87;0.61
2005-03-15;2.7613;2.7621;2441.87;0.61
2005-03-16;2.7562;2.757;2441.87;0.61
2005-03-17;2.7514;2.7522;2441.87;0.61
2005-03-18;2.7155;2.7163;2441.87;0.61
2005-03-21;2.728;2.7288;2441.87;0.61
2005-03-22;2.7052;2.706;2441.87;0.61
2005-03-23;2.7395;2.7403;2441.87;0.61
2005-03-24;2.7295;2.7303;2441.87;0.61
2005-03-28;2.7377;2.7385;2441.87;0.61
2005-03-29;2.7023;2.7031;2441.87;0.61
2005-03-30;2.68;2.6808;2441.87;0.61
2005-03-31;2.6654;2.6662;2441.87;0.61
2005-04-01;2.6542;2.655;2463.11;0.87
2005-04-04;2.659;2.6598;2463.11;0.87
2005-04-05;2.6247;2.6255;2463.11;0.87
2005-04-06;2.6059;2.6067;2463.11;0.87
2005-04-07;2.6011;2.6019;2463.11;0.87
2005-04-08;2.5934;2.5942;2463.11;0.87
2005-04-11;2.5775;2.5783;2463.11;0.87
2005-04-12;2.5891;2.5899;2463.11;0.87
2005-04-13;2.559;2.5598;2463.11;0.87
2005-04-14;2.5739;2.5747;2463.11;0.87
2005-04-15;2.5963;2.5971;2463.11;0.87
2005-04-18;2.6149;2.6157;2463.11;0.87
2005-04-19;2.5817;2.5825;2463.11;0.87
2005-04-20;2.5637;2.5645;2463.11;0.87
2005-04-22;2.5384;2.5392;2463.11;0.87
2005-04-25;2.53;2.5308;2463.11;0.87
2005-04-26;2.5347;2.5355;2463.11;0.87
2005-04-27;2.5187;2.5195;2463.11;0.87
2005-04-28;2.5209;2.5217;2463.11;0.87
2005-04-29;2.5305;2.5313;2463.11;0.87
2005-05-02;2.5138;2.5146;2475.18;0.49
2005-05-03;2.4999;2.5007;2475.18;0.49
2005-05-04;2.4757;2.4765;2475.18;0.49
2005-05-05;2.4679;2.4687;2475.18;0.49
2005-05-06;2.4586;2.4594;2475.18;0.49
2005-05-09;2.453;2.4538;2475.18;0.49
2005-05-10;2.4642;2.465;2475.18;0.49
2005-05-11;2.4711;2.4719;2475.18;0.49
2005-05-12;2.464;2.4648;2475.18;0.49
2005-05-13;2.4707;2.4715;2475.18;0.49
2005-05-16;2.4764;2.4772;2475.18;0.49
2005-05-17;2.4771;2.4779;2475.18;0.49
2005-05-18;2.4628;2.4636;2475.18;0.49
2005-05-19;2.445;2.4458;2475.18;0.49
2005-05-20;2.4485;2.4493;2475.18;0.49
2005-05-23;2.4291;2.4299;2475.18;0.49
2005-05-24;2.4305;2.4313;2475.18;0.49
2005-05-25;2.4108;2.4116;2475.18;0.49
2005-05-27;2.3926;2.3934;2475.18;0.49
2005-05-30;2.3776;2.3784;2475.18;0.49
2005-05-31;2.403;2.4038;2475.18;0.49
2005-06-01;2.4278;2.4286;2474.68;-0.02
2005-06-02;2.4194;2.4202;2474.68;-0.02
2005-06-03;2.4021;2.4029;2474.68;-0.02
2005-06-06;2.4568;2.4576;2474.68;-0.02
2005-06-07;2.4624;2.4632;2474.68;-0.02
2005-06-08;2.4456;2.4464;2474.68;-0.02
2005-06-09;2.4883;2.4891;2474.68;-0.02
2005-06-10;2.4743;2.4751;2474.68;-0.02
2005-06-13;2.4554;2.4562;2474.68;-0.02
2005-06-14;2.4367;2.4375;2474.68;-0.02
2005-06-15;2.4447;2.4455;2474.68;-0.02
2005-06-16;2.4153;2.4161;2474.68;-0.02
2005-06-17;2.3865;2.3873;2474.68;-0.02
2005-06-20;2.3847;2.3855;2474.68;-0.02
2005-06-21;2.3764;2.3772;2474.68;-0.02
2005-06-22;2.3695;2.3703;2474.68;-0.02
