Ano_Mes;CO;N;NE;S;SE
2005_01;Etanol;Gasolina;Gasolina;Etanol;Etanol
2005_02;Etanol;Gasolina;Gasolina;Etanol;Etanol
2005_03;Etanol;Gasolina;Gasolina;Etanol;Etanol
2005_04;Etanol;Gasolina;Gasolina;Etanol;Etanol
2005_05;Etanol;Gasolina;Gasolina;Etanol;Etanol
2005_06;Etanol;Gasolina;Gasolina;Etanol;Etanol
2005_07;Etanol;Gasolina;Gasolina;Etanol;Etanol
2005_08;Etanol;Gasolina;Gasolina;Etanol;Etanol
2005_09;Etanol;Etanol;Etanol;Etanol;Etanol
2005_10;Etanol;Gasolina;Etanol;Etanol;Etanol
2005_11;Etanol;Gasolina;Etanol;Etanol;Etanol
2005_12;Etanol;Gasolina;Etanol;Etanol;Etanol
2006_01;Etanol;Gasolina;Gasolina;Gasolina;Gasolina
2006_02;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2006_03;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2006_04;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2006_05;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
2006_06;Etanol;Gasolina;Gasolina;Gasolina;Etanol
2006_07;Etanol;Gasolina;Gasolina;Etanol;Etanol
2006_08;Etanol;Gasolina;Gasolina;Etanol;Etanol
2006_09;Etanol;Gasolina;Gasolina;Etanol;Etanol
2006_10;Etanol;Gasolina;Gasolina;Etanol;Etanol
2006_11;Etanol;Gasolina;Gasolina;Etanol;Etanol
2006_12;Etanol;Gasolina;Etanol;Etanol;Etanol
2007_01;Etanol;Gasolina;Etanol;Etanol;Etanol
2007_02;Etanol;Gasolina;Etanol;Etanol;Etanol
2007_03;Etanol;Gasolina;Etanol;Etanol;Etanol
2007_04;Etanol;Gasolina;Etanol;Gasolina;Etanol
2007_05;Etanol;Gasolina;Gasolina;Gasolina;Etanol
2007_06;Etanol;Gasolina;Gasolina;Etanol;Etanol
2007_07;Etanol;Gasolina;Etanol;Etanol;Etanol
2007_08;Etanol;Gasolina;Etanol;Etanol;Etanol
2007_09;Etanol;Gasolina;Etanol;Etanol;Etanol
2007_10;Etanol;Gasolina;Etanol;Etanol;Etanol
2007_11;Etanol;Gasolina;Etanol;Etanol;Etanol
2007_12;Etanol;Gasolina;Etanol;Etanol;Etanol
2008_01;Etanol;Gasolina;Etanol;Etanol;Etanol
2008_02;Etanol;Gasolina;Etanol;Etanol;Etanol
2008_03;Etanol;Gasolina;Etanol;Etanol;Etanol
2008_04;Etanol;Gasolina;Etanol;Etanol;Etanol
2008_05;Etanol;Gasolina;Etanol;Etanol;Etanol
2008_06;Etanol;Gasolina;Etanol;Etanol;Etanol
2008_07;Etanol;Gasolina;Gasolina;Etanol;Etanol
2008_08;Etanol;Gasolina;Gasolina;Etanol;Etanol
2008_09;Etanol;Gasolina;Gasolina;Etanol;Etanol
2008_10;Etanol;Gasolina;Gasolina;Etanol;Etanol
2008_11;Etanol;Gasolina;Gasolina;Etanol;Etanol
2008_12;Etanol;Gasolina;Etanol;Etanol;Etanol
2009_01;Etanol;Gasolina;Etanol;Etanol;Etanol
2009_02;Etanol;Gasolina;Etanol;Etanol;Etanol
2009_03;Etanol;Gasolina;Etanol;Etanol;Etanol
2009_04;Etanol;Gasolina;Etanol;Etanol;Etanol
2009_05;Etanol;Gasolina;Etanol;Etanol;Etanol
2009_06;Etanol;Gasolina;Etanol;Etanol;Etanol
2009_07;Etanol;Gasolina;Etanol;Etanol;Etanol
2009_08;Etanol;Gasolina;Etanol;Etanol;Etanol
2009_09;Etanol;Gasolina;Etanol;Etanol;Etanol
2009_10;Etanol;Gasolina;Etanol;Gasolina;Etanol
2009_11;Etanol;Gasolina;Gasolina;Gasolina;Etanol
2009_12;Etanol;Gasolina;Gasolina;Gasolina;Etanol
2010_01;Gasolina;Gasolina;Gasolina;Gasolina;Gasolina
